"DXXSAX.Code.or.Value","DXXSAX.Value.Description","DXXSAX.Count","DXXSAX.Cumulative","DXXSAX.Skip.to.Item"
"404.6 to 989.1","Range of Values",3294,3294,NA
".","Missing",414,3708,NA
