"DR1ISELE.Code.or.Value","DR1ISELE.Value.Description","DR1ISELE.Count","DR1ISELE.Cumulative","DR1ISELE.Skip.to.Item"
"0 to 507.2","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
