"DS1TPROT.Code.or.Value","DS1TPROT.Value.Description","DS1TPROT.Count","DS1TPROT.Cumulative","DS1TPROT.Skip.to.Item"
"0.2 to 22","Range of Values",143,143,NA
".","Missing",10110,10253,NA
