"DXXPOSTH.Code.or.Value","DXXPOSTH.Value.Description","DXXPOSTH.Count","DXXPOSTH.Cumulative","DXXPOSTH.Skip.to.Item"
"26.1 to 72.4","Range of Values",3242,3242,NA
".","Missing",466,3708,NA
