"URXUCR.Code.or.Value","URXUCR.Value.Description","URXUCR.Count","URXUCR.Cumulative","URXUCR.Skip.to.Item"
"4 to 800","Range of Values",2293,2293,NA
".","Missing",56,2349,NA
