"DR1LANG.Code.or.Value","DR1LANG.Value.Description","DR1LANG.Count","DR1LANG.Cumulative","DR1LANG.Skip.to.Item"
"1","English",5367,5367,NA
"2","Spanish",461,5828,NA
"3","English and Spanish",33,5861,NA
"4","Other",16,5877,NA
"5","Asian Languages",50,5927,NA
"6","Asian Languages and English",31,5958,NA
".","Missing",0,5958,NA
