"AUXLR273.Code.or.Value","AUXLR273.Value.Description","AUXLR273.Count","AUXLR273.Cumulative","AUXLR273.Skip.to.Item"
"-18 to 50","Range of Values",2152,2152,NA
".","Missing",216,2368,NA
