"WTDRD1.Code.or.Value","WTDRD1.Value.Description","WTDRD1.Count","WTDRD1.Cumulative","WTDRD1.Skip.to.Item"
"3385.1287248 to 280175.99397","Range of Values",6399,6399,NA
".","Missing",0,6399,NA
