"AUXLR263.Code.or.Value","AUXLR263.Value.Description","AUXLR263.Count","AUXLR263.Cumulative","AUXLR263.Skip.to.Item"
"-28 to 98","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
