"DR1DAY.Code.or.Value","DR1DAY.Value.Description","DR1DAY.Count","DR1DAY.Cumulative","DR1DAY.Skip.to.Item"
"1","Sunday",986,986,NA
"2","Monday",472,1458,NA
"3","Tuesday",763,2221,NA
"4","Wednesday",577,2798,NA
"5","Thursday",671,3469,NA
"6","Friday",1496,4965,NA
"7","Saturday",993,5958,NA
".","Missing",0,5958,NA
