"LBXSIR.Code.or.Value","LBXSIR.Value.Description","LBXSIR.Count","LBXSIR.Cumulative","LBXSIR.Skip.to.Item"
"5 to 278","Range of Values",6486,6486,NA
".","Missing",504,6990,NA
