"AUXRR179.Code.or.Value","AUXRR179.Value.Description","AUXRR179.Count","AUXRR179.Cumulative","AUXRR179.Skip.to.Item"
"-27 to 117","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
