"DR1TCAFF.Code.or.Value","DR1TCAFF.Value.Description","DR1TCAFF.Count","DR1TCAFF.Cumulative","DR1TCAFF.Skip.to.Item"
"0 to 2448","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
