"DR1TSUGR.Code.or.Value","DR1TSUGR.Value.Description","DR1TSUGR.Count","DR1TSUGR.Cumulative","DR1TSUGR.Skip.to.Item"
"0 to 990.65","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
