"DXXSAX.Code.or.Value","DXXSAX.Value.Description","DXXSAX.Count","DXXSAX.Cumulative","DXXSAX.Skip.to.Item"
"-4.6 to 550.3","Range of Values",3195,3195,NA
".","Missing",513,3708,NA
