"CIQP13C.Code.or.Value","CIQP13C.Value.Description","CIQP13C.Count","CIQP13C.Cumulative","CIQP13C.Skip.to.Item"
"1","Yes",62,62,NA
"2","No",56,118,NA
"7","Refused",0,118,NA
"9","Don't know",0,118,NA
".","Missing",810,928,NA
