"AUXLR173.Code.or.Value","AUXLR173.Value.Description","AUXLR173.Count","AUXLR173.Cumulative","AUXLR173.Skip.to.Item"
"-31 to 62","Range of Values",1664,1664,NA
".","Missing",143,1807,NA
