"OCQ660.Code.or.Value","OCQ660.Value.Description","OCQ660.Count","OCQ660.Cumulative","OCQ660.Skip.to.Item"
"1 to 20","Range of Values",593,593,NA
"77","Refused",1,594,NA
"99","Don't know",0,594,NA
".","Missing",5733,6327,NA
