"OHX23LAP.Code.or.Value","OHX23LAP.Value.Description","OHX23LAP.Count","OHX23LAP.Cumulative","OHX23LAP.Skip.to.Item"
"0 to 11","Range of Values",3337,3337,NA
"99","Cannot be assessed",753,4090,NA
".","Missing",947,5037,NA
