"DR1TACAR.Code.or.Value","DR1TACAR.Value.Description","DR1TACAR.Count","DR1TACAR.Cumulative","DR1TACAR.Skip.to.Item"
"0 to 23596","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
