"URXUAC.Code.or.Value","URXUAC.Value.Description","URXUAC.Count","URXUAC.Cumulative","URXUAC.Skip.to.Item"
"0.42 to 10.9","Range of Values",2576,2576,NA
".","Missing",144,2720,NA
