"BMXSUB.Code.or.Value","BMXSUB.Value.Description","BMXSUB.Count","BMXSUB.Cumulative","BMXSUB.Skip.to.Item"
"3.2 to 40.4","Range of Values",8776,8776,NA
".","Missing",1477,10253,NA
