"TYXP128.Code.or.Value","TYXP128.Value.Description","TYXP128.Count","TYXP128.Cumulative","TYXP128.Skip.to.Item"
"-293 to 82","Range of Values",5006,5006,NA
".","Missing",579,5585,NA
