"WTSPH27.Code.or.Value","WTSPH27.Value.Description","WTSPH27.Count","WTSPH27.Cumulative","WTSPH27.Skip.to.Item"
"0.0000000 to 795953.9385700","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
