"URDAMCLC.Code.or.Value","URDAMCLC.Value.Description","URDAMCLC.Count","URDAMCLC.Cumulative","URDAMCLC.Skip.to.Item"
"0","At or above the detection limit",2949,2949,NA
"1","Below lower detection limit",16,2965,NA
".","Missing",314,3279,NA
