"CIQP13A.Code.or.Value","CIQP13A.Value.Description","CIQP13A.Count","CIQP13A.Cumulative","CIQP13A.Skip.to.Item"
"1","Yes",80,80,NA
"2","No",17,97,NA
"7","Refused",0,97,NA
"9","Don't know",2,99,NA
".","Missing",679,778,NA
