"URDCPMLC.Code.or.Value","URDCPMLC.Value.Description","URDCPMLC.Count","URDCPMLC.Cumulative","URDCPMLC.Skip.to.Item"
"0","At or above the detection limit",2327,2327,NA
"1","Below lower detection limit",420,2747,NA
".","Missing",84,2831,NA
