"DEX6CRFU.Code.or.Value","DEX6CRFU.Value.Description","DEX6CRFU.Count","DEX6CRFU.Cumulative","DEX6CRFU.Skip.to.Item"
"1","Yes",3,3,NA
"2","No",257,260,NA
".","Missing",2732,2992,NA
