"TYXP064.Code.or.Value","TYXP064.Value.Description","TYXP064.Count","TYXP064.Cumulative","TYXP064.Skip.to.Item"
"-119 to 133","Range of Values",8468,8468,NA
".","Missing",1,8469,NA
