"URDUCOLC.Code.or.Value","URDUCOLC.Value.Description","URDUCOLC.Count","URDUCOLC.Cumulative","URDUCOLC.Skip.to.Item"
"0","At or above the detection limit",2488,2488,NA
"1","Below lower detection limit",16,2504,NA
".","Missing",90,2594,NA
