"URDP10LC.Code.or.Value","URDP10LC.Value.Description","URDP10LC.Count","URDP10LC.Cumulative","URDP10LC.Skip.to.Item"
"0","At or above the detection limit",2729,2729,NA
"1","Below lower detection limit",17,2746,NA
".","Missing",73,2819,NA
