"DR1IM201.Code.or.Value","DR1IM201.Value.Description","DR1IM201.Count","DR1IM201.Cumulative","DR1IM201.Skip.to.Item"
"0 to 4.55","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
