"CBQ665.Code.or.Value","CBQ665.Value.Description","CBQ665.Count","CBQ665.Cumulative","CBQ665.Skip.to.Item"
"1","Very important",1611,1611,NA
"2","Somewhat important",586,2197,NA
"3","Not too important",40,2237,NA
"4","Not at all important",6,2243,NA
"7","Refused",0,2243,NA
"9","Don't know",1,2244,NA
".","Missing",625,2869,NA
