"WBXP096.Code.or.Value","WBXP096.Value.Description","WBXP096.Count","WBXP096.Cumulative","WBXP096.Skip.to.Item"
"-175.0124 to 178.1499","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
