"URDCYALC.Code.or.Value","URDCYALC.Value.Description","URDCYALC.Count","URDCYALC.Cumulative","URDCYALC.Skip.to.Item"
"0","At or above the detection limit",440,440,NA
"1","Below lower detection limit",2575,3015,NA
".","Missing",264,3279,NA
