"DEX6PSPM.Code.or.Value","DEX6PSPM.Value.Description","DEX6PSPM.Count","DEX6PSPM.Cumulative","DEX6PSPM.Skip.to.Item"
"1","Present",1,1,NA
".","Missing",2991,2992,NA
