"RFXT074.Code.or.Value","RFXT074.Value.Description","RFXT074.Count","RFXT074.Cumulative","RFXT074.Skip.to.Item"
"637 to 646","Range of Values",33697,33697,NA
".","Missing",24,33721,NA
