"DS1TCAFF.Code.or.Value","DS1TCAFF.Value.Description","DS1TCAFF.Count","DS1TCAFF.Cumulative","DS1TCAFF.Skip.to.Item"
"40 to 900","Range of Values",9,9,NA
".","Missing",9753,9762,NA
