"BMIARMC.Code.or.Value","BMIARMC.Value.Description","BMIARMC.Count","BMIARMC.Cumulative","BMIARMC.Skip.to.Item"
"1","Could not obtain",372,372,NA
".","Missing",9441,9813,NA
