"LBCTNALA.Code.or.Value","LBCTNALA.Value.Description","LBCTNALA.Count","LBCTNALA.Cumulative","LBCTNALA.Skip.to.Item"
"0.8 to 122","Range of Values",264,264,NA
".","Missing",0,264,NA
