"SSCYGWS.Code.or.Value","SSCYGWS.Value.Description","SSCYGWS.Count","SSCYGWS.Cumulative","SSCYGWS.Skip.to.Item"
"0 to 3","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
