"AUXLR101.Code.or.Value","AUXLR101.Value.Description","AUXLR101.Count","AUXLR101.Cumulative","AUXLR101.Skip.to.Item"
"-64 to 51","Range of Values",1664,1664,NA
".","Missing",143,1807,NA
