"DR1IMAGN.Code.or.Value","DR1IMAGN.Value.Description","DR1IMAGN.Count","DR1IMAGN.Cumulative","DR1IMAGN.Skip.to.Item"
"0 to 1212","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
