"DS1TVB12.Code.or.Value","DS1TVB12.Value.Description","DS1TVB12.Count","DS1TVB12.Cumulative","DS1TVB12.Skip.to.Item"
"0.75 to 6000","Range of Values",1626,1626,NA
".","Missing",7712,9338,NA
