"DXXPT3Y.Code.or.Value","DXXPT3Y.Value.Description","DXXPT3Y.Count","DXXPT3Y.Cumulative","DXXPT3Y.Skip.to.Item"
"171.2 to 404.9","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
