"ARQ020D.Code.or.Value","ARQ020D.Value.Description","ARQ020D.Count","ARQ020D.Cumulative","ARQ020D.Skip.to.Item"
"4","LOW BACK",989,989,NA
".","Missing",4117,5106,NA
