"AUDTYR53.Code.or.Value","AUDTYR53.Value.Description","AUDTYR53.Count","AUDTYR53.Cumulative","AUDTYR53.Skip.to.Item"
"0 to 3","Range of Values",1140,1140,NA
".","Missing",70,1210,NA
