"URXUIO.Code.or.Value","URXUIO.Value.Description","URXUIO.Count","URXUIO.Cumulative","URXUIO.Skip.to.Item"
"5.3 to 55594","Range of Values",2507,2507,NA
".","Missing",87,2594,NA
