"URXDMN.Code.or.Value","URXDMN.Value.Description","URXDMN.Count","URXDMN.Cumulative","URXDMN.Skip.to.Item"
"11.08 to 13600000","Range of Values",2375,2375,NA
".","Missing",380,2755,NA
