"DR1ILZ.Code.or.Value","DR1ILZ.Value.Description","DR1ILZ.Count","DR1ILZ.Cumulative","DR1ILZ.Skip.to.Item"
"0 to 102251","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
