"TYXA244.Code.or.Value","TYXA244.Value.Description","TYXA244.Count","TYXA244.Cumulative","TYXA244.Skip.to.Item"
"0.323 to 3.719","Range of Values",167,167,NA
".","Missing",8302,8469,NA
