"OCQ310a.Code.or.Value","OCQ310a.Value.Description","OCQ310a.Count","OCQ310a.Cumulative","OCQ310a.Skip.to.Item"
"1","Yes",160,160,NA
"2","No",962,1122,NA
"7","Refused",0,1122,NA
"9","Don't know",1,1123,NA
".","Missing",6172,7295,NA
