"PFD069Q.Code.or.Value","PFD069Q.Value.Description","PFD069Q.Count","PFD069Q.Cumulative","PFD069Q.Skip.to.Item"
"28 to 28470","Range of Values",173,173,NA
"66666","Since birth",9,182,NA
"77777","Refused",0,182,NA
"99999","Don't know",0,182,NA
".","Missing",9463,9645,NA
