"WTSAF2YR.Code.or.Value","WTSAF2YR.Value.Description","WTSAF2YR.Count","WTSAF2YR.Cumulative","WTSAF2YR.Skip.to.Item"
"0 to 521033.371","Range of Values",3239,3239,NA
".","Missing",0,3239,NA
