"LEDARMCF.Code.or.Value","LEDARMCF.Value.Description","LEDARMCF.Count","LEDARMCF.Cumulative","LEDARMCF.Skip.to.Item"
"1","9 cm",10,10,NA
"3","12 cm",770,780,NA
"4","15 cm",1918,2698,NA
"5","18 cm",163,2861,NA
"8","Could not obtain",7,2868,NA
".","Missing",316,3184,NA
