"DXXPT35X.Code.or.Value","DXXPT35X.Value.Description","DXXPT35X.Count","DXXPT35X.Cumulative","DXXPT35X.Skip.to.Item"
"105.1 to 749.4","Range of Values",3274,3274,NA
".","Missing",434,3708,NA
