"RHQ291.Code.or.Value","RHQ291.Value.Description","RHQ291.Count","RHQ291.Cumulative","RHQ291.Skip.to.Item"
"17 to 77","Range of Values",508,508,NA
"777","Refused",0,508,NA
"999","Don't know",25,533,NA
".","Missing",2765,3298,NA
