"URXUMMA.Code.or.Value","URXUMMA.Value.Description","URXUMMA.Count","URXUMMA.Cumulative","URXUMMA.Skip.to.Item"
"0.14 to 12.09","Range of Values",3094,3094,NA
".","Missing",185,3279,NA
