"MPD050P.Code.or.Value","MPD050P.Value.Description","MPD050P.Count","MPD050P.Cumulative","MPD050P.Skip.to.Item"
"25","Fingers/thumb - left",636,636,NA
".","Missing",4405,5041,NA
