"DR1DBIH.Code.or.Value","DR1DBIH.Value.Description","DR1DBIH.Count","DR1DBIH.Cumulative","DR1DBIH.Skip.to.Item"
"-46 to 70","Range of Values",8589,8589,NA
".","Missing",749,9338,NA
