"DBD411.Code.or.Value","DBD411.Value.Description","DBD411.Count","DBD411.Cumulative","DBD411.Skip.to.Item"
"1 to 5","Range of Values",1429,1429,""
"0","None",857,2286,"DBQ422"
"7777","Refused",0,2286,"DBQ422"
"9999","Don't know",15,2301,"DBQ422"
".","Missing",7670,9971,""
