"RDQ070.Code.or.Value","RDQ070.Value.Description","RDQ070.Count","RDQ070.Cumulative","RDQ070.Skip.to.Item"
"1","Yes",1214,1214,""
"2","No",8260,9474,"RDQ140"
"7","Refused",3,9477,"RDQ140"
"9","Don't know",10,9487,"RDQ140"
".","Missing",6,9493,""
