"MCQ260CB.Code.or.Value","MCQ260CB.Value.Description","MCQ260CB.Count","MCQ260CB.Cumulative","MCQ260CB.Skip.to.Item"
"2","Father",147,147,"MCQ250E"
".","Missing",9498,9645,""
