"DR2IMOIS.Code.or.Value","DR2IMOIS.Value.Description","DR2IMOIS.Count","DR2IMOIS.Cumulative","DR2IMOIS.Skip.to.Item"
"0 to 8885.72","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
